id,forecastVolum
1,253
2,319
3,154
4,259
5,377
6,182
7,402
8,185
9,1975
10,314
11,657
12,181
13,283
14,296
15,582
16,383
17,276
18,243
19,526
20,102
21,257
22,234
23,301
24,292
25,216
26,227
27,647
28,403
29,877
30,305
31,4847
32,694
33,1323
34,390
35,722
36,691
37,1094
38,694
39,584
40,941
41,1106
42,226
43,368
44,566
45,152
46,271
47,218
48,323
49,416
50,150
51,370
52,162
53,1398
54,200
55,426
56,127
57,367
58,322
59,369
60,244
61,224
62,120
63,474
64,158
65,240
66,255
67,153
68,256
69,149
70,113
71,397
72,256
73,320
74,163
75,2724
76,349
77,808
78,265
79,363
80,471
81,932
82,474
83,453
84,462
85,356
86,138
87,216
88,187
89,180
90,3630
91,474
92,78
93,1456
94,1688
95,3206
96,1811
97,1286
98,2030
99,1876
100,862
101,3400
102,4325
103,1267
104,1370
105,1584
106,399
107,932
108,242
109,1830
110,454
111,332
112,491
113,479
114,57
115,992
116,1166
117,1558
118,503
119,5494
120,651
121,1410
122,832
123,1965
124,2350
125,802
126,1152
127,1278
128,312
129,298
130,564
131,556
132,369
133,1166
134,251
135,181
136,1250
137,327
138,356
139,1239
140,295
141,1174
142,152
143,1222
144,232
145,792
146,833
147,897
148,288
149,215
150,207
151,312
152,146
153,315
154,221
155,350
156,84
157,29
158,63
159,226
160,406
161,273
162,52
163,284
164,95
165,777
166,192
167,159
168,276
169,458
170,220
171,215
172,121
173,41
174,80
175,137
176,29
177,744
178,282
179,252
180,387
181,820
182,839
183,865
184,345
185,727
186,267
187,1165
188,750
189,630
190,860
191,777
192,892
193,929
194,396
195,260
196,349
197,319
198,139
199,650
200,312
201,287
202,48
203,1155
204,1701
205,2096
206,548
207,949
208,621
209,2514
210,1318
211,1240
212,2002
213,1448
214,1228
215,1174
216,780
217,304
218,376
219,500
220,131
221,118
222,375
223,238
224,131
225,1097
226,732
227,1540
228,619
229,1103
230,748
231,812
232,864
233,1236
234,2194
235,1338
236,947
237,1009
238,606
239,213
240,545
241,1284
242,120
243,63
244,444
245,305
246,46
247,782
248,583
249,1164
250,754
251,923
252,527
253,556
254,571
255,1368
256,1380
257,572
258,545
259,718
260,272
261,374
262,366
263,882
264,254
265,108
266,907
267,520
268,48
269,1397
270,1037
271,1753
272,734
273,865
274,626
275,1088
276,900
277,1765
278,2005
279,795
280,991
281,1022
282,426
283,274
284,412
285,791
286,423
287,266
288,1273
289,808
290,179
291,2366
292,2113
293,3134
294,719
295,1740
296,802
297,2548
298,1272
299,2251
300,4479
301,1653
302,1727
303,2077
304,628
305,822
306,791
307,997
308,545
309,547
310,400
311,438
312,697
313,714
314,891
315,1124
316,676
317,407
318,152
319,1346
320,325
321,1380
322,1066
323,645
324,338
325,422
326,267
327,186
328,369
329,535
330,76
331,27
332,986
333,662
334,195
335,1670
336,307
337,1945
338,745
339,1232
340,386
341,525
342,321
343,2027
344,1372
345,428
346,395
347,1108
348,350
349,777
350,178
351,571
352,910
353,1360
354,820
355,377
356,248
357,1563
358,1394
359,1742
360,794
361,741
362,365
363,1965
364,997
365,1839
366,2435
367,955
368,972
369,1182
370,597
371,351
372,642
373,744
374,187
375,231
376,659
377,677
378,69
379,1111
380,956
381,2610
382,1404
383,386
384,289
385,1102
386,445
387,2277
388,1878
389,497
390,249
391,414
392,267
393,670
394,265
395,804
396,524
397,324
398,420
399,526
400,852
401,1250
402,665
403,1753
404,441
405,842
406,279
407,1275
408,380
409,1757
410,1530
411,790
412,575
413,548
414,464
415,660
416,414
417,573
418,804
419,300
420,234
421,77
422,82
423,342
424,397
425,500
426,51
427,386
428,105
429,589
430,291
431,298
432,290
433,627
434,297
435,368
436,200
437,120
438,151
439,122
440,90
441,322
442,425
443,419
444,241
445,1398
446,932
447,1243
448,382
449,604
450,260
451,1550
452,400
453,1725
454,1731
455,1032
456,658
457,528
458,450
459,490
460,309
461,434
462,470
463,443
464,197
465,179
466,338
467,458
468,398
469,917
470,156
471,391
472,142
473,1089
474,220
475,900
476,714
477,903
478,265
479,257
480,216
481,175
482,90
483,243
484,159
485,16
486,31
487,30
488,6
489,138
490,330
491,556
492,185
493,45
494,65
495,172
496,49
497,521
498,296
499,37
500,147
501,148
502,19
503,109
504,39
505,100
506,69
507,658
508,246
509,103
510,636
511,653
512,362
513,583
514,122
515,1111
516,167
517,1533
518,238
519,382
520,333
521,1344
522,340
523,306
524,469
525,252
526,240
527,232
528,86
529,345
530,167
531,94
532,254
533,424
534,210
535,349
536,101
537,628
538,139
539,798
540,166
541,217
542,218
543,715
544,260
545,216
546,264
547,147
548,148
549,150
550,65
551,686
552,281
553,133
554,731
555,606
556,330
557,563
558,167
559,1129
560,175
561,1209
562,232
563,350
564,326
565,1064
566,410
567,299
568,423
569,254
570,235
571,237
572,87
573,144
574,41
575,21
576,124
577,97
578,92
579,164
580,20
581,124
582,27
583,319
584,25
585,120
586,77
587,306
588,51
589,44
590,26
591,41
592,22
593,44
594,18
595,590
596,201
597,187
598,579
599,629
600,422
601,604
602,177
603,828
604,155
605,1393
606,293
607,454
608,426
609,1261
610,420
611,390
612,303
613,399
614,198
615,340
616,148
617,309
618,148
619,117
620,184
621,262
622,199
623,362
624,112
625,490
626,113
627,661
628,156
629,231
630,198
631,739
632,288
633,202
634,185
635,118
636,99
637,130
638,60
639,462
640,214
641,160
642,745
643,513
644,288
645,582
646,150
647,1088
648,188
649,1119
650,272
651,393
652,373
653,980
654,462
655,339
656,278
657,308
658,176
659,272
660,138
661,527
662,234
663,78
664,489
665,545
666,345
667,467
668,84
669,1226
670,151
671,1200
672,204
673,427
674,322
675,1460
676,299
677,368
678,322
679,234
680,206
681,216
682,93
683,198
684,663
685,138
686,58
687,433
688,1124
689,1729
690,455
691,2204
692,1856
693,1412
694,467
695,1120
696,4332
697,683
698,528
699,915
700,289
701,400
702,153
703,640
704,332
705,435
706,198
707,333
708,44
709,583
710,337
711,726
712,181
713,145
714,80
715,931
716,288
717,585
718,513
719,443
720,190
721,363
722,200
723,63
724,105
725,550
726,75
727,554
728,142
729,60
730,95
731,166
732,142
733,257
734,62
735,115
736,39
737,388
738,77
739,184
740,197
741,262
742,114
743,132
744,74
745,37
746,83
747,125
748,33
749,205
750,88
751,111
752,431
753,465
754,247
755,726
756,191
757,1596
758,331
759,847
760,276
761,483
762,338
763,618
764,570
765,405
766,633
767,235
768,290
769,208
770,86
771,193
772,324
773,461
774,501
775,741
776,237
777,686
778,295
779,1541
780,302
781,552
782,287
783,845
784,687
785,538
786,1147
787,544
788,321
789,545
790,448
791,498
792,298
793,69
794,143
795,105
796,30
797,313
798,173
799,236
800,87
801,612
802,176
803,438
804,249
805,214
806,362
807,356
808,201
809,307
810,177
811,148
812,123
813,89
814,75
815,158
816,211
817,315
818,162
819,730
820,422
821,1434
822,700
823,4692
824,1224
825,1232
826,866
827,1202
828,1174
829,810
830,820
831,1046
832,786
833,974
834,354
835,286
836,568
837,285
838,555
839,410
840,364
841,603
842,481
843,1184
844,464
845,2562
846,401
847,1012
848,424
849,1044
850,1123
851,881
852,1343
853,595
854,626
855,823
856,281
857,478
858,635
859,135
860,313
861,181
862,132
863,339
864,341
865,506
866,229
867,1425
868,240
869,704
870,268
871,448
872,610
873,652
874,673
875,321
876,367
877,296
878,145
879,218
880,214
881,144
882,26
883,30
884,200
885,46
886,54
887,284
888,91
889,747
890,33
891,271
892,42
893,212
894,148
895,312
896,47
897,43
898,51
899,99
900,25
901,38
902,36
903,171
904,263
905,118
906,143
907,378
908,240
909,474
910,162
911,2268
912,257
