id,forecastVolum
1,273
2,357
3,148
4,273
5,385
6,186
7,415
8,204
9,2240
10,331
11,662
12,188
13,303
14,286
15,632
16,428
17,274
18,238
19,526
20,82
21,265
22,213
23,286
24,268
25,196
26,214
27,625
28,416
29,783
30,289
31,5049
32,697
33,1336
34,391
35,639
36,640
37,1127
38,758
39,574
40,900
41,1165
42,227
43,365
44,502
45,154
46,293
47,275
48,320
49,500
50,174
51,420
52,177
53,1628
54,241
55,496
56,150
57,447
58,358
59,422
60,282
61,244
62,134
63,573
64,194
65,281
66,289
67,132
68,260
69,114
70,86
71,433
72,271
73,267
74,134
75,2981
76,366
77,796
78,286
79,348
80,423
81,972
82,481
83,488
84,376
85,239
86,128
87,191
88,118
89,155
90,4303
91,546
92,57
93,1591
94,1871
95,3384
96,1957
97,1263
98,2008
99,2036
100,964
101,3708
102,4077
103,1331
104,1560
105,1685
106,398
107,894
108,266
109,1778
110,420
111,339
112,527
113,461
114,48
115,983
116,1342
117,1664
118,487
119,5643
120,724
121,1399
122,892
123,2421
124,2910
125,716
126,1242
127,1246
128,291
129,290
130,606
131,590
132,304
133,1510
134,294
135,229
136,1667
137,374
138,473
139,1465
140,413
141,1464
142,178
143,1505
144,312
145,1035
146,992
147,1067
148,373
149,240
150,232
151,374
152,130
153,394
154,264
155,306
156,53
157,27
158,44
159,228
160,414
161,262
162,44
163,194
164,91
165,781
166,198
167,124
168,245
169,375
170,225
171,239
172,89
173,28
174,65
175,139
176,19
177,797
178,258
179,239
180,399
181,803
182,922
183,839
184,339
185,628
186,245
187,1239
188,767
189,640
190,857
191,821
192,982
193,979
194,376
195,231
196,358
197,313
198,109
199,511
200,252
201,232
202,24
203,965
204,1865
205,1900
206,369
207,673
208,575
209,2379
210,1406
211,1017
212,2218
213,1249
214,1175
215,1079
216,734
217,195
218,358
219,368
220,82
221,65
222,460
223,228
224,66
225,1223
226,799
227,1649
228,439
229,1027
230,948
231,734
232,981
233,1391
234,2697
235,1161
236,1084
237,1150
238,451
239,189
240,754
241,1546
242,107
243,41
244,488
245,298
246,20
247,747
248,687
249,1151
250,814
251,922
252,603
253,552
254,633
255,1423
256,1545
257,487
258,578
259,750
260,308
261,330
262,419
263,1025
264,231
265,62
266,981
267,555
268,21
269,1440
270,989
271,1784
272,756
273,775
274,713
275,1047
276,887
277,1750
278,2129
279,637
280,996
281,1173
282,387
283,264
284,428
285,827
286,353
287,223
288,1460
289,936
290,129
291,2598
292,2259
293,3341
294,795
295,1753
296,947
297,2647
298,1493
299,2431
300,4835
301,1631
302,1857
303,2213
304,564
305,833
306,966
307,1232
308,581
309,567
310,411
311,482
312,741
313,734
314,1053
315,1186
316,747
317,378
318,144
319,1364
320,333
321,1600
322,1182
323,655
324,355
325,425
326,286
327,188
328,397
329,599
330,58
331,39
332,1134
333,729
334,160
335,1732
336,273
337,1941
338,725
339,1425
340,487
341,585
342,336
343,2228
344,1552
345,480
346,407
347,1262
348,305
349,745
350,183
351,684
352,904
353,1860
354,901
355,348
356,115
357,1912
358,1576
359,1990
360,771
361,567
362,395
363,2323
364,1033
365,2116
366,3111
367,1012
368,1155
369,1318
370,507
371,287
372,803
373,773
374,170
375,210
376,626
377,691
378,48
379,1207
380,999
381,3113
382,1680
383,385
384,330
385,1162
386,498
387,2967
388,2260
389,492
390,232
391,411
392,205
393,646
394,273
395,929
396,537
397,396
398,447
399,647
400,951
401,1661
402,827
403,2341
404,512
405,797
406,324
407,1503
408,488
409,2259
410,1882
411,950
412,695
413,678
414,599
415,714
416,538
417,742
418,952
419,247
420,238
421,78
422,62
423,319
424,400
425,464
426,53
427,306
428,101
429,547
430,276
431,263
432,259
433,558
434,296
435,365
436,171
437,104
438,147
439,116
440,80
441,333
442,401
443,420
444,152
445,1479
446,1013
447,1356
448,393
449,414
450,221
451,1598
452,422
453,1905
454,1862
455,1125
456,764
457,492
458,413
459,405
460,337
461,417
462,447
463,430
464,145
465,147
466,250
467,372
468,345
469,817
470,110
471,294
472,94
473,956
474,189
475,757
476,582
477,825
478,238
479,207
480,175
481,120
482,48
483,172
484,120
485,18
486,37
487,42
488,11
489,132
490,313
491,498
492,185
493,45
494,67
495,160
496,57
497,487
498,271
499,38
500,127
501,142
502,25
503,96
504,49
505,108
506,61
507,969
508,327
509,127
510,851
511,864
512,514
513,761
514,140
515,1405
516,194
517,2027
518,325
519,518
520,408
521,1820
522,442
523,398
524,622
525,340
526,294
527,275
528,112
529,498
530,181
531,99
532,271
533,552
534,250
535,462
536,123
537,739
538,161
539,962
540,199
541,247
542,241
543,900
544,299
545,261
546,338
547,164
548,169
549,164
550,73
551,1004
552,371
553,191
554,969
555,866
556,471
557,768
558,236
559,1551
560,225
561,1651
562,340
563,442
564,385
565,1476
566,519
567,417
568,647
569,335
570,304
571,288
572,100
573,90
574,28
575,20
576,91
577,47
578,72
579,149
580,19
581,84
582,23
583,236
584,8
585,96
586,53
587,205
588,38
589,31
590,13
591,28
592,16
593,40
594,12
595,842
596,239
597,259
598,845
599,826
600,638
601,811
602,230
603,1000
604,193
605,2244
606,466
607,634
608,648
609,1822
610,637
611,596
612,477
613,560
614,264
615,509
616,157
617,324
618,142
619,86
620,142
621,251
622,186
623,379
624,81
625,433
626,98
627,640
628,136
629,205
630,178
631,718
632,324
633,182
634,188
635,84
636,80
637,110
638,45
639,512
640,204
641,161
642,844
643,574
644,325
645,677
646,160
647,1178
648,205
649,1301
650,323
651,427
652,405
653,1114
654,559
655,366
656,319
657,333
658,189
659,316
660,121
661,625
662,270
663,65
664,524
665,646
666,402
667,547
668,78
669,1535
670,138
671,1450
672,231
673,583
674,337
675,1862
676,362
677,468
678,402
679,317
680,233
681,254
682,102
683,174
684,706
685,127
686,39
687,447
688,1256
689,1821
690,452
691,1958
692,1710
693,1409
694,493
695,1060
696,3678
697,570
698,559
699,967
700,239
701,366
702,153
703,637
704,275
705,294
706,164
707,294
708,33
709,526
710,321
711,708
712,124
713,95
714,60
715,883
716,268
717,500
718,515
719,322
720,168
721,347
722,177
723,34
724,96
725,444
726,43
727,746
728,124
729,51
730,98
731,130
732,133
733,252
734,47
735,76
736,26
737,343
738,69
739,180
740,194
741,229
742,181
743,112
744,64
745,34
746,76
747,108
748,20
749,232
750,72
751,140
752,455
753,596
754,323
755,886
756,218
757,2027
758,434
759,1093
760,325
761,594
762,440
763,673
764,735
765,511
766,835
767,246
768,302
769,277
770,86
771,197
772,362
773,522
774,467
775,850
776,273
777,747
778,346
779,1838
780,339
781,587
782,327
783,975
784,850
785,574
786,1419
787,638
788,339
789,549
790,517
791,584
792,294
793,42
794,134
795,83
796,17
797,315
798,146
799,203
800,55
801,483
802,176
803,381
804,248
805,183
806,338
807,277
808,181
809,296
810,138
811,108
812,135
813,67
814,63
815,122
